image_path,classification,metaclass
acrochordon/ISIC_0012249.png,acrochordon,OTHER
acrochordon/ISIC_0013368.png,acrochordon,OTHER
acrochordon/ISIC_0021126.png,acrochordon,OTHER
acrochordon/ISIC_0021127.png,acrochordon,OTHER
acrochordon/ISIC_0021128.png,acrochordon,OTHER
acrochordon/ISIC_0021142.png,acrochordon,OTHER
acrochordon/ISIC_0021143.png,acrochordon,OTHER
acrochordon/ISIC_0021144.png,acrochordon,OTHER
acrochordon/ISIC_0021184.png,acrochordon,OTHER
acrochordon/ISIC_0021185.png,acrochordon,OTHER
acrochordon/ISIC_0021186.png,acrochordon,OTHER
acrochordon/ISIC_0021211.png,acrochordon,OTHER
acrochordon/ISIC_0021212.png,acrochordon,OTHER
acrochordon/ISIC_0021213.png,acrochordon,OTHER
acrochordon/ISIC_0021217.png,acrochordon,OTHER
acrochordon/ISIC_0021218.png,acrochordon,OTHER
acrochordon/ISIC_0021220.png,acrochordon,OTHER
acrochordon/ISIC_0021222.png,acrochordon,OTHER
acrochordon/ISIC_0021223.png,acrochordon,OTHER
acrochordon/ISIC_0021247.png,acrochordon,OTHER
acrochordon/ISIC_0021248.png,acrochordon,OTHER
acrochordon/ISIC_0021249.png,acrochordon,OTHER
acrochordon/ISIC_0021275.png,acrochordon,OTHER
acrochordon/ISIC_0021276.png,acrochordon,OTHER
acrochordon/ISIC_0021277.png,acrochordon,OTHER
acrochordon/ISIC_0021308.png,acrochordon,OTHER
acrochordon/ISIC_0021309.png,acrochordon,OTHER
acrochordon/ISIC_0021310.png,acrochordon,OTHER
acrochordon/ISIC_0021350.png,acrochordon,OTHER
acrochordon/ISIC_0021351.png,acrochordon,OTHER
acrochordon/ISIC_0021352.png,acrochordon,OTHER
acrochordon/ISIC_0021361.png,acrochordon,OTHER
acrochordon/ISIC_0021363.png,acrochordon,OTHER
acrochordon/ISIC_0021364.png,acrochordon,OTHER
acrochordon/ISIC_0021365.png,acrochordon,OTHER
acrochordon/ISIC_0021367.png,acrochordon,OTHER
acrochordon/ISIC_0021375.png,acrochordon,OTHER
acrochordon/ISIC_0021376.png,acrochordon,OTHER
acrochordon/ISIC_0021377.png,acrochordon,OTHER
acrochordon/ISIC_0021419.png,acrochordon,OTHER
acrochordon/ISIC_0021420.png,acrochordon,OTHER
acrochordon/ISIC_0021421.png,acrochordon,OTHER
acrochordon/ISIC_0021425.png,acrochordon,OTHER
acrochordon/ISIC_0021433.png,acrochordon,OTHER
acrochordon/ISIC_0021444.png,acrochordon,OTHER
acrochordon/ISIC_0021445.png,acrochordon,OTHER
acrochordon/ISIC_0021456.png,acrochordon,OTHER
acrochordon/ISIC_0021460.png,acrochordon,OTHER
acrochordon/ISIC_0021462.png,acrochordon,OTHER
acrochordon/ISIC_0021467.png,acrochordon,OTHER
