image_path,mask_path,training_stage
training_input_original/ISIC_0000000.jpg,training_output_mask/ISIC_0000000_segmentation.png,Training
training_input_original/ISIC_0000001.jpg,training_output_mask/ISIC_0000001_segmentation.png,Training
training_input_original/ISIC_0000003.jpg,training_output_mask/ISIC_0000003_segmentation.png,Training
training_input_original/ISIC_0000004.jpg,training_output_mask/ISIC_0000004_segmentation.png,Training
training_input_original/ISIC_0000006.jpg,training_output_mask/ISIC_0000006_segmentation.png,Training
training_input_original/ISIC_0000007.jpg,training_output_mask/ISIC_0000007_segmentation.png,Training
training_input_original/ISIC_0000008.jpg,training_output_mask/ISIC_0000008_segmentation.png,Training
training_input_original/ISIC_0000009.jpg,training_output_mask/ISIC_0000009_segmentation.png,Training
training_input_original/ISIC_0000011.jpg,training_output_mask/ISIC_0000011_segmentation.png,Training
training_input_original/ISIC_0000012.jpg,training_output_mask/ISIC_0000012_segmentation.png,Training
training_input_original/ISIC_0000013.jpg,training_output_mask/ISIC_0000013_segmentation.png,Training
training_input_original/ISIC_0000014.jpg,training_output_mask/ISIC_0000014_segmentation.png,Training
training_input_original/ISIC_0000015.jpg,training_output_mask/ISIC_0000015_segmentation.png,Training
training_input_original/ISIC_0000016.jpg,training_output_mask/ISIC_0000016_segmentation.png,Training
training_input_original/ISIC_0000017.jpg,training_output_mask/ISIC_0000017_segmentation.png,Training
training_input_original/ISIC_0000019.jpg,training_output_mask/ISIC_0000019_segmentation.png,Training
training_input_original/ISIC_0000020.jpg,training_output_mask/ISIC_0000020_segmentation.png,Training
training_input_original/ISIC_0000021.jpg,training_output_mask/ISIC_0000021_segmentation.png,Training
training_input_original/ISIC_0000022.jpg,training_output_mask/ISIC_0000022_segmentation.png,Training
training_input_original/ISIC_0000023.jpg,training_output_mask/ISIC_0000023_segmentation.png,Training
training_input_original/ISIC_0000024.jpg,training_output_mask/ISIC_0000024_segmentation.png,Training
training_input_original/ISIC_0000025.jpg,training_output_mask/ISIC_0000025_segmentation.png,Training
training_input_original/ISIC_0000026.jpg,training_output_mask/ISIC_0000026_segmentation.png,Training
training_input_original/ISIC_0000027.jpg,training_output_mask/ISIC_0000027_segmentation.png,Training
training_input_original/ISIC_0000028.jpg,training_output_mask/ISIC_0000028_segmentation.png,Training
training_input_original/ISIC_0000029.jpg,training_output_mask/ISIC_0000029_segmentation.png,Training
training_input_original/ISIC_0000030.jpg,training_output_mask/ISIC_0000030_segmentation.png,Training
training_input_original/ISIC_0000031.jpg,training_output_mask/ISIC_0000031_segmentation.png,Training
training_input_original/ISIC_0000032.jpg,training_output_mask/ISIC_0000032_segmentation.png,Training
training_input_original/ISIC_0000034.jpg,training_output_mask/ISIC_0000034_segmentation.png,Training
training_input_original/ISIC_0000035.jpg,training_output_mask/ISIC_0000035_segmentation.png,Training
training_input_original/ISIC_0000037.jpg,training_output_mask/ISIC_0000037_segmentation.png,Training
training_input_original/ISIC_0000038.jpg,training_output_mask/ISIC_0000038_segmentation.png,Training
training_input_original/ISIC_0000039.jpg,training_output_mask/ISIC_0000039_segmentation.png,Training
training_input_original/ISIC_0000040.jpg,training_output_mask/ISIC_0000040_segmentation.png,Training
training_input_original/ISIC_0000041.jpg,training_output_mask/ISIC_0000041_segmentation.png,Training
training_input_original/ISIC_0000042.jpg,training_output_mask/ISIC_0000042_segmentation.png,Training
training_input_original/ISIC_0000043.jpg,training_output_mask/ISIC_0000043_segmentation.png,Training
